Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Jamaica,JAM,"Population, total",SP.POP.TOTL,2589389,2605556,2615253,2624695,2634145,2643601,2653042,2662481,2671934,2681386,2690824,2699838,2707805,2715000
Jordan,JOR,"Population, total",SP.POP.TOTL,4797000,4917000,5038000,5164000,5290000,5411000,5536000,5661000,5786000,5915000,6046000,6181000,6318000,6459000
Japan,JPN,"Population, total",SP.POP.TOTL,126870000,127149000,127445000,127718000,127761000,127773000,127756000,127770750,127704040,127557958,127450459,127817277,127561489,127338621
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092701,16321581,16556600,16791425,17037508
Kenya,KEN,"Population, total",SP.POP.TOTL,31285050,32126351,33000524,33905011,34834606,35785718,36757498,37752304,38773277,39824734,40909194,42027891,43178141,44353691
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719500
Cambodia,KHM,"Population, total",SP.POP.TOTL,12222871,12472586,12709336,12934369,13149386,13356424,13555054,13747288,13940518,14144225,14364931,14605862,14864646,15135169
Kiribati,KIR,"Population, total",SP.POP.TOTL,82788,84261,85799,87371,88936,90468,91953,93401,94832,96272,97743,99250,100786,102351
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,45544,46214,46934,47679,48421,49139,49823,50478,51110,51731,52352,52971,53584,54191
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,47008111,47357362,47622179,47859311,48039415,48138077,48371946,48597652,48948698,49182038,49410366,49779440,50004441,50219669
Kosovo,KSV,"Population, total",SP.POP.TOTL,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1790957,1807106,1824000
Kuwait,KWT,"Population, total",SP.POP.TOTL,1906231,1980604,2048232,2116353,2196466,2296314,2417445,2554920,2702221,2850102,2991580,3124705,3250496,3368572
Latin America & Caribbean (developing only),LAC,"Population, total",SP.POP.TOTL,500304988,507634232,514805325,521830960,528725135,535502703,542156081,548693634,555165897,561638962,568158111,574744408,581379260,588019503
Lao PDR,LAO,"Population, total",SP.POP.TOTL,5388281,5470169,5545245,5619069,5699112,5790646,5895930,6013278,6139127,6267968,6395713,6521314,6645827,6769727
Lebanon,LBN,"Population, total",SP.POP.TOTL,3235380,3357600,3515604,3690110,3853582,3986865,4079823,4139813,4186088,4246924,4341092,4382790,4424888,4467390
Liberia,LBR,"Population, total",SP.POP.TOTL,2891968,2998770,3070673,3124222,3184643,3269786,3384791,3522294,3672714,3821440,3957990,4079697,4190435,4294077
